Freguesia;PopResi;Concelho
União das freguesias de Bougado (São Martinho e Santiago);21375;Trofa
União das freguesias de Coronado (São Romão e São Mamede);9105;Trofa
Arões;1169;Vale de Cambra
Cepelos;1158;Vale de Cambra
Junqueira;834;Vale de Cambra
Macieira de Cambra;4391;Vale de Cambra
Roge;1540;Vale de Cambra
São Pedro de Castelões;6833;Vale de Cambra
União das freguesias de Vila Chã, Codal e Vila Cova de Perrinho;5350;Vale de Cambra
Alfena;14439;Valongo
Ermesinde;39095;Valongo
União das freguesias de Campo e Sobrado;15280;Valongo
Valongo;25883;Valongo
Árvore;5569;Vila do Conde
Aveleda;1224;Vila do Conde
Azurara;2367;Vila do Conde
Fajozes;1637;Vila do Conde
Gião;1659;Vila do Conde
Guilhabreu;2190;Vila do Conde
Junqueira;1917;Vila do Conde
Labruge;3000;Vila do Conde
Macieira da Maia;2491;Vila do Conde
Mindelo;3988;Vila do Conde
Modivas;1764;Vila do Conde
União das freguesias de Bagunte, Ferreiró, Outeiro Maior e Parada;2662;Vila do Conde
União das freguesias de Fornelo e Vairão;2413;Vila do Conde
União das freguesias de Malta e Canidelo;2221;Vila do Conde
União das freguesias de Retorta e Tougues;2044;Vila do Conde
União das freguesias de Rio Mau e Arcos;2643;Vila do Conde
União das freguesias de Touguinha e Touguinhó;3346;Vila do Conde
União das freguesias de Vilar e Mosteiró;2398;Vila do Conde
Vila Chã;3404;Vila do Conde
Vila do Conde;29332;Vila do Conde
Vilar de Pinheiro;2562;Vila do Conde
Arcozelo;15145;Vila Nova de Gaia
Avintes;10838;Vila Nova de Gaia
Canelas;13919;Vila Nova de Gaia
Canidelo;28059;Vila Nova de Gaia
Madalena;10553;Vila Nova de Gaia
Oliveira do Douro;22616;Vila Nova de Gaia
São Félix da Marinha;13560;Vila Nova de Gaia
União das freguesias de Grijó e Sermonde;12018;Vila Nova de Gaia
União das freguesias de Gulpilhares e Valadares;22324;Vila Nova de Gaia
União das freguesias de Mafamude e Vilar do Paraíso;52850;Vila Nova de Gaia
União das freguesias de Pedroso e Seixezelo;20229;Vila Nova de Gaia
União das freguesias de Sandim, Olival, Lever e Crestuma;15956;Vila Nova de Gaia
União das freguesias de Santa Marinha e São Pedro da Afurada;34035;Vila Nova de Gaia
União das freguesias de Serzedo e Perosinho;13746;Vila Nova de Gaia
Vilar de Andorinho;18006;Vila Nova de Gaia
